start	short_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
2013	Ajaccio	36	26788.0	16377.9	29409.83863	7496.66178	40	100	33	1	10	3	18	27.8860741029
2013	Bastia	35	31167.1	19453.9	35724.98121	8192.00797	57	130	53	0	14	5	20	33.8932884245
2013	Bordeaux	40	34011.4	20578.3	37658.07428	8261.06328	75	159	58	0	18	3	8	38.4025358078
2013	Evian	33	29258.0	17833.5	31769.15957	7677.30654	50	117	44	0	5	2	13	32.6166074339
2013	Guingamp	27	35186.5	20821.3	37412.4447	8504.68122	92	195	57	1	22	4	30	41.0458061037
2013	Lille	36	37358.4	22644.4	40607.77019	9557.53959	99	180	83	0	13	6	17	40.1865884205
2013	Lorient	37	33626.2	20596.2	37951.14165	9092.88037	51	104	59	0	15	3	14	37.4456829131
2013	Lyon	48	37940.2	22895.3	40320.95809	10278.75252	60	142	73	0	18	5	16	41.0378053318
2013	Marseille	44	39215.6	24177.3	44357.4488	9944.07007	83	185	60	0	7	10	4	43.6389429558
2013	Monaco	54	40188.9	23806.8	42624.13756	9938.28228	69	181	73	0	17	12	17	45.8226261162
2013	Montpellier	41	36693.4	21817.6	39306.39329	9022.65595	72	154	74	0	14	9	20	42.5630413713
2013	Nantes	35	32733.1	19338.0	34779.85836	8169.85047	84	162	59	1	11	8	17	36.4606741987
2013	Nice	25	26905.6	16116.3	29071.422	7375.81791	53	126	43	0	11	3	10	29.776465954
2013	PSG	71	50089.4	29234.7	52625.7406	10907.36127	112	206	94	0	13	14	14	66.4218345212
2013	Reims	37	33123.9	19510.4	34722.61335	8647.77737	66	138	59	0	10	8	19	33.8925258797
2013	Rennes	41	29446.1	17121.6	30367.58694	7575.48751	32	107	37	0	8	5	8	34.4845862135
2013	Sochaux	32	32530.2	18651.1	32521.62203	8196.97286	74	172	79	0	14	6	20	37.3782721193
2013	St Etienne	48	37744.7	22499.2	39862.61955	9571.28908	87	176	66	0	24	3	22	41.2241190261
2013	Toulouse	39	34169.2	19970.4	35460.14782	8298.06915	70	168	62	0	8	6	18	41.5297328861
2013	Valenciennes	29	31029.0	18410.0	32338.87325	8107.25166	57	136	62	0	5	3	9	34.8437514582
2014	Bastia	30	26457.6	15509.3	27722.24257	6638.53392	46	115	37	4	7	2	18	31.1765366508
2014	Bordeaux	38	39960.1	23768.1	42465.02907	10092.96011	68	178	52	1	5	3	18	45.4970932319
2014	Caen	46	38118.3	23422.3	43413.91663	9424.06075	81	185	71	1	3	7	20	44.4124811468
2014	Evian	36	27589.2	16906.7	30721.68533	7080.77961	51	141	47	1	2	3	18	31.668642148
2014	Guingamp	33	29635.0	17081.5	30167.61261	6931.57392	84	161	47	2	4	6	15	34.8108748047
2014	Lens	27	33979.0	20042.7	35628.89749	8242.08292	75	161	59	5	9	7	14	39.968564743
2014	Lille	37	37671.0	23119.8	41714.87337	9841.18186	73	167	53	1	4	4	17	38.8643089057
2014	Lorient	36	40068.1	24104.4	43252.44864	10414.46767	72	174	70	3	8	8	17	45.4525329141
2014	Lyon	60	42819.6	25603.8	45602.4265	10862.4125	57	143	63	0	7	14	10	50.3951384821
2014	Marseille	69	48632.6	28993.2	52154.96145	11362.12326	115	246	76	0	11	11	19	56.2932177999
2014	Metz	24	36146.7	22809.4	41337.7339	9989.82156	69	152	58	2	4	2	22	36.9516613537
2014	Monaco	45	37739.9	22708.2	41408.37141	8407.91719	88	167	65	5	9	8	14	47.9304905961
2014	Montpellier	42	32888.0	18668.2	32830.5072	7918.838	72	141	54	1	3	10	21	38.3235442691
2014	Nantes	21	34524.3	20708.9	37171.2508	9233.05427	72	171	56	2	4	10	20	36.4880237198
2014	Nice	40	34533.8	20478.6	36592.59421	9143.13365	60	157	41	0	3	3	19	38.816170742
2014	PSG	67	40908.9	24473.1	44923.17478	8919.97547	64	152	57	2	12	27	20	55.3096102402
2014	Reims	42	36735.2	22131.3	39663.11791	8971.30642	90	193	78	4	4	5	20	40.6067302246
2014	Rennes	32	30394.7	18059.2	32630.59379	7569.66748	69	131	34	0	7	3	18	34.3786453958
2014	St Etienne	45	36560.7	21108.8	37333.13616	9009.75786	66	182	63	4	4	4	23	41.8241415911
2014	Toulouse	39	35723.0	22034.1	39635.15922	9086.15283	75	164	58	3	7	11	20	39.3476776787
