start	short_name	goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
2013	Ajaccio	36	29409.83863	7496.66178	40	100	33	1	10	3	18	28.5526666667
2013	Bastia	35	35724.98121	8192.00797	57	130	53	0	14	5	20	33.2058333333
2013	Bordeaux	40	37658.07428	8261.06328	75	159	58	0	18	3	8	44.9828809524
2013	Evian	33	31769.15957	7677.30654	50	117	44	0	5	2	13	31.1392142857
2013	Guingamp	27	37412.4447	8504.68122	92	195	57	1	22	4	30	35.1342142857
2013	Lille	36	40607.77019	9557.53959	99	180	83	0	13	6	17	36.6827619048
2013	Lorient	37	37951.14165	9092.88037	51	104	59	0	15	3	14	33.5357857143
2013	Lyon	48	40320.95809	10278.75252	60	142	73	0	18	5	16	44.1278333333
2013	Marseille	44	44357.4488	9944.07007	83	185	60	0	7	10	4	42.6746666667
2013	Monaco	54	42624.13756	9938.28228	69	181	73	0	17	12	17	49.3957857143
2013	Montpellier	41	39306.39329	9022.65595	72	154	74	0	14	9	20	43.5641666667
2013	Nantes	35	34779.85836	8169.85047	84	162	59	1	11	8	17	31.6066904762
2013	Nice	25	29071.422	7375.81791	53	126	43	0	11	3	10	28.7795
2013	PSG	71	52625.7406	10907.36127	112	206	94	0	13	14	14	80.1016666667
2013	Reims	37	34722.61335	8647.77737	66	138	59	0	10	8	19	36.6902857143
2013	Rennes	41	30367.58694	7575.48751	32	107	37	0	8	5	8	36.0681666667
2013	Sochaux	32	32521.62203	8196.97286	74	172	79	0	14	6	20	34.8945714286
2013	St Etienne	48	39862.61955	9571.28908	87	176	66	0	24	3	22	43.0921904762
2013	Toulouse	39	35460.14782	8298.06915	70	168	62	0	8	6	18	43.9840714286
2013	Valenciennes	29	32338.87325	8107.25166	57	136	62	0	5	3	9	33.7573333333
2014	Bastia	30	27722.24257	6638.53392	46	115	37	4	7	2	18	30.8038809524
2014	Bordeaux	38	42465.02907	10092.96011	68	178	52	1	5	3	18	44.3948571429
2014	Caen	46	43413.91663	9424.06075	81	185	71	1	3	7	20	41.5851428571
2014	Evian	36	30721.68533	7080.77961	51	141	47	1	2	3	18	32.0613333333
2014	Guingamp	33	30167.61261	6931.57392	84	161	47	2	4	6	15	31.1436666667
2014	Lens	27	35628.89749	8242.08292	75	161	59	5	9	7	14	28.9771190476
2014	Lille	37	41714.87337	9841.18186	73	167	53	1	4	4	17	40.2911666667
2014	Lorient	36	43252.44864	10414.46767	72	174	70	3	8	8	17	35.4303333333
2014	Lyon	60	45602.4265	10862.4125	57	143	63	0	7	14	10	59.6244761905
2014	Marseille	69	52154.96145	11362.12326	115	246	76	0	11	11	19	65.1461666667
2014	Metz	24	41337.7339	9989.82156	69	152	58	2	4	2	22	28.1133571429
2014	Monaco	45	41408.37141	8407.91719	88	167	65	5	9	8	14	51.5451904762
2014	Montpellier	42	32830.5072	7918.838	72	141	54	1	3	10	21	36.0281904762
2014	Nantes	21	37171.2508	9233.05427	72	171	56	2	4	10	20	26.5038333333
2014	Nice	40	36592.59421	9143.13365	60	157	41	0	3	3	19	40.098
2014	PSG	67	44923.17478	8919.97547	64	152	57	2	12	27	20	67.728047619
2014	Reims	42	39663.11791	8971.30642	90	193	78	4	4	5	20	40.7925
2014	Rennes	32	32630.59379	7569.66748	69	131	34	0	7	3	18	30.6237142857
2014	St Etienne	45	37333.13616	9009.75786	66	182	63	4	4	4	23	44.1800714286
2014	Toulouse	39	39635.15922	9086.15283	75	164	58	3	7	11	20	38.5263333333
