short_name	kickoff	day	pdo_int	pdo
Bastia	2014-08-09 19:00:00.0	1	898	898
Bastia	2014-08-16 16:00:00.0	2	906	906
Bastia	2014-08-23 18:00:00.0	3	983	983
Bastia	2014-08-31 12:00:00.0	4	1,024	1024
Bastia	2014-09-13 19:00:00.0	5	1,018	1018
Bastia	2014-09-20 19:00:00.0	6	1,019	1019
Bastia	2014-09-24 17:00:00.0	7	1,034	1034
Bastia	2014-09-27 18:00:00.0	8	1,025	1025
Bastia	2014-10-04 18:00:00.0	9	1,004	1004
Bastia	2014-10-18 18:00:00.0	10	1,042	1042
Bastia	2014-10-25 19:00:00.0	11	1,019	1019
Bastia	2014-11-01 19:00:00.0	12	1,001	1001
Bastia	2014-11-08 19:00:00.0	13	1,022	1022
Bastia	2014-11-22 16:00:00.0	14	1,009	1009
Bastia	2014-11-29 19:00:00.0	15	1,008	1008
Bastia	2014-12-03 18:00:00.0	16	1,000	1000
Bastia	2014-12-06 19:00:00.0	17	990	990
Bastia	2014-12-13 19:00:00.0	18	996	996
Bastia	2014-12-20 19:00:00.0	19	997	997
Bastia	2015-01-10 16:00:00.0	20	1,022	1022
Bastia	2015-01-17 19:00:00.0	21	1,028	1028
Bastia	2015-01-24 19:00:00.0	22	1,019	1019
Bastia	2015-01-31 19:00:00.0	23	1,033	1033
Bastia	2015-02-07 19:00:00.0	24	1,037	1037
Bastia	2015-02-14 19:00:00.0	25	1,053	1053
Bastia	2015-02-21 19:00:00.0	26	1,058	1058
Bastia	2015-02-28 19:00:00.0	27	1,048	1048
Bastia	2015-03-07 19:00:00.0	28	1,043	1043
Bastia	2015-03-13 19:30:00.0	29	1,037	1037
Bastia	2015-03-21 19:00:00.0	30	1,033	1033
Bastia	2015-04-04 18:00:00.0	31	1,029	1029
Bastia	2015-04-15 16:30:00.0	32	1,024	1024
Bastia	2015-04-18 18:00:00.0	33	1,022	1022
Bastia	2015-04-25 18:00:00.0	34	1,025	1025
Bastia	2015-05-02 18:00:00.0	35	1,026	1026
Bastia	2015-05-09 18:00:00.0	36	1,032	1032
Bastia	2015-05-16 19:00:00.0	37	1,033	1033
Bastia	2015-05-23 19:00:00.0	38	1,023	1023
Bordeaux	2014-08-09 19:00:00.0	1	1,250	1250
Bordeaux	2014-08-17 19:00:00.0	2	1,489	1489
Bordeaux	2014-08-23 18:00:00.0	3	1,405	1405
Bordeaux	2014-08-31 12:00:00.0	4	1,218	1218
Bordeaux	2014-09-14 16:00:00.0	5	1,171	1171
Bordeaux	2014-09-19 19:30:00.0	6	1,181	1181
Bordeaux	2014-09-25 19:00:00.0	7	1,199	1199
Bordeaux	2014-09-28 12:00:00.0	8	1,172	1172
Bordeaux	2014-10-03 18:30:00.0	9	1,122	1122
Bordeaux	2014-10-19 15:00:00.0	10	1,110	1110
Bordeaux	2014-10-25 16:00:00.0	11	1,068	1068
Bordeaux	2014-11-02 16:00:00.0	12	1,074	1074
Bordeaux	2014-11-08 16:00:00.0	13	1,095	1095
Bordeaux	2014-11-23 20:00:00.0	14	1,078	1078
Bordeaux	2014-11-30 13:00:00.0	15	1,078	1078
Bordeaux	2014-12-03 18:00:00.0	16	1,076	1076
Bordeaux	2014-12-06 19:00:00.0	17	1,065	1065
Bordeaux	2014-12-13 16:00:00.0	18	1,048	1048
Bordeaux	2014-12-21 20:00:00.0	19	1,009	1009
Bordeaux	2015-01-11 20:00:00.0	20	1,016	1016
Bordeaux	2015-01-16 19:30:00.0	21	1,007	1007
Bordeaux	2015-01-24 19:00:00.0	22	1,010	1010
Bordeaux	2015-02-01 16:00:00.0	23	1,010	1010
Bordeaux	2015-02-07 19:00:00.0	24	1,025	1025
Bordeaux	2015-02-15 13:00:00.0	25	1,027	1027
Bordeaux	2015-02-21 19:00:00.0	26	1,017	1017
