"x","y","nb"
42,80,5
32,82,3
40,62,3
54,38,1
50,96,1
46,86,4
34,76,4
14,96,1
40,92,2
20,80,1
48,98,1
52,66,2
32,68,8
52,80,2
40,88,2
20,66,2
28,60,3
30,94,1
38,60,4
40,70,2
42,66,3
50,58,1
42,74,2
68,66,1
56,86,1
30,78,5
60,76,2
40,72,5
36,90,2
20,74,1
24,14,1
12,96,1
48,84,1
52,74,2
24,90,2
58,86,3
26,64,1
22,60,1
40,34,1
12,38,1
52,94,1
48,82,2
32,48,1
26,96,1
56,96,3
6,72,1
44,58,2
46,56,2
30,80,2
48,52,1
36,66,5
8,86,2
28,70,6
36,80,4
60,68,1
20,94,1
54,56,3
30,66,3
12,86,2
38,88,4
58,64,1
10,86,1
22,34,1
28,88,4
40,60,5
24,66,2
46,46,1
42,94,1
48,68,1
38,70,5
70,26,1
18,50,1
52,54,2
12,16,1
58,96,1
28,72,5
24,40,1
26,56,1
56,56,2
34,82,6
24,74,2
14,16,1
44,64,7
42,78,2
34,52,3
66,88,1
30,74,4
32,76,1
26,58,2
34,20,1
64,86,1
38,72,9
46,64,2
88,14,1
20,78,2
34,42,2
52,90,1
32,32,1
62,94,1
34,68,8
54,64,4
46,10,1
36,74,4
52,78,2
54,96,1
42,90,1
20,14,1
32,84,5
10,70,1
36,68,5
20,48,2
24,52,1
34,40,2
68,84,1
28,86,2
18,76,1
12,70,1
34,74,3
32,44,1
24,82,1
42,98,1
50,72,1
40,58,1
76,44,1
54,60,1
62,84,1
38,86,2
30,52,2
48,80,4
20,98,1
70,98,1
14,72,2
30,82,2
32,54,2
12,88,2
64,72,1
8,92,1
36,82,3
18,84,3
12,92,1
88,48,1
38,38,1
48,66,2
36,52,1
24,68,3
46,60,5
32,94,1
12,62,1
52,48,1
30,68,4
44,60,3
60,66,1
20,76,2
64,62,1
40,64,8
34,80,7
16,86,3
32,78,3
18,48,1
20,32,1
70,32,1
42,76,4
8,72,1
4,82,1
26,34,1
48,74,1
52,84,1
10,72,1
28,22,1
14,88,1
20,84,2
12,72,1
64,88,1
22,96,1
52,76,5
26,60,2
72,68,1
56,60,1
42,84,4
22,64,7
34,66,3
14,70,1
64,70,1
58,34,1
32,90,2
4,76,1
42,82,4
32,80,3
52,68,1
38,56,1
34,78,4
28,58,3
54,88,1
48,54,5
30,48,2
18,30,1
44,62,4
20,42,1
46,92,1
38,58,2
40,86,2
20,82,2
54,70,3
42,42,1
46,62,3
20,52,2
28,56,2
26,72,2
56,72,6
42,68,9
44,88,1
48,94,1
46,70,4
52,82,2
54,62,3
40,38,1
22,86,3
4,84,1
52,52,2
44,70,7
54,92,2
46,88,2
22,16,1
60,94,1
58,72,1
20,68,1
32,66,4
34,90,2
26,62,7
56,62,1
48,12,1
38,64,3
46,72,5
58,88,3
50,34,1
32,40,2
32,74,4
30,76,5
34,44,1
44,72,5
64,34,1
56,92,1
26,92,1
58,70,2
24,76,1
36,84,2
34,54,1
48,78,1
28,64,4
30,84,2
58,62,2
26,88,1
56,88,1
48,90,1
48,50,1
34,94,1
36,76,5
24,84,3
54,72,2
26,70,6
32,88,1
54,80,3
16,84,2
46,66,4
40,68,6
42,38,1
36,56,2
58,74,2
48,60,1
14,90,1
32,70,4
22,82,1
66,76,1
60,60,1
36,58,1
30,46,1
44,66,12
52,86,1
6,84,1
44,80,4
26,40,2
28,48,1
56,40,1
24,56,1
30,58,2
14,78,1
26,74,2
56,74,1
40,82,3
32,62,4
74,52,1
20,86,1
6,76,1
50,78,1
32,18,1
40,42,1
46,80,3
54,66,5
22,68,3
24,58,1
42,86,3
28,98,1
32,92,1
54,74,3
58,80,1
50,94,1
36,64,6
32,36,1
38,84,1
26,66,2
56,66,3
12,78,1
42,22,1
32,24,1
34,60,4
14,94,1
16,48,1
30,96,1
24,64,1
28,76,3
12,90,1
18,86,1
44,74,3
10,90,2
8,78,1
26,80,3
56,80,1
38,32,1
32,72,5
30,64,5
24,96,1
58,66,2
46,74,5
16,98,1
38,76,5
34,34,1
54,44,1
42,46,1
48,70,3
22,48,2
52,56,2
26,50,1
38,68,7
56,50,1
10,80,1
28,68,8
60,70,1
26,90,3
44,94,4
48,88,2
30,38,1
56,90,1
36,86,2
12,80,1
52,58,3
30,86,2
56,78,2
26,78,1
38,52,2
14,74,1
8,80,1
38,82,2
28,42,1
46,54,1
44,44,1
60,62,2
20,58,1
48,92,3
28,82,2
18,64,1
38,42,1
86,4,1
24,86,2
34,72,2
50,74,2
28,52,3
40,48,2
42,58,1
54,94,3
58,90,1
46,44,1
44,54,2
22,76,3
54,78,4
34,88,2
40,84,1
64,66,1
62,58,1
12,74,1
34,70,10
14,66,1
56,94,1
26,94,2
44,90,3
18,46,1
56,44,1
18,58,1
26,44,2
42,100,2
6,82,2
28,30,1
34,62,2
42,64,5
44,78,4
22,84,3
58,94,1
54,90,2
20,64,1
42,96,1
46,78,2
34,92,2
40,76,5
30,70,2
28,66,3
24,88,1
36,62,2
20,60,3
58,76,3
38,66,5
56,84,5
26,84,2
54,48,1
42,60,1
30,88,1
36,92,2
40,94,1
12,82,1
24,70,4
36,88,3
24,62,4
30,92,1
8,82,1
46,48,1
32,56,3
38,80,5
20,34,2
44,98,2
48,86,2
36,70,4
28,80,6
44,48,1
24,92,2
30,62,5
26,32,1
