season	player_name	distance	nb	headed	on_target	goal
2014	A. Abdennour	24.0	1	0	1	0
2014	A. Aguilar	11.0	1	1	0	0
2014	A. Aguilar	12.0	1	1	0	0
2014	A. Aguilar	14.0	2	2	1	0
2014	A. Aguilar	15.0	2	0	0	0
2014	A. Aguilar	24.0	1	0	0	0
2014	A. Aguilar	25.0	1	0	0	0
2014	A. Aguilar	28.0	1	0	0	0
2014	A. Aguilar	33.0	1	0	0	0
2014	A. Angoula	6.0	1	1	0	0
2014	A. Angoula	8.0	1	1	0	0
2014	A. Angoula	9.0	1	0	0	0
2014	A. Angoula	10.0	2	1	1	0
2014	A. Angoula	16.0	1	1	0	0
2014	A. Angoula	17.0	1	0	0	0
2014	A. Ayew	1.0	1	0	1	1
2014	A. Ayew	5.0	1	0	1	1
2014	A. Ayew	6.0	1	1	1	1
2014	A. Ayew	7.0	3	1	2	2
2014	A. Ayew	8.0	4	3	2	1
2014	A. Ayew	9.0	3	2	1	1
2014	A. Ayew	10.0	7	5	2	1
2014	A. Ayew	11.0	3	3	0	0
2014	A. Ayew	12.0	3	1	2	0
2014	A. Ayew	13.0	4	2	1	0
2014	A. Ayew	14.0	2	0	0	0
2014	A. Ayew	15.0	4	1	3	2
2014	A. Ayew	16.0	2	1	0	0
2014	A. Ayew	17.0	2	1	1	0
2014	A. Ayew	19.0	1	0	0	0
2014	A. Ayew	20.0	2	0	1	0
2014	A. Ayew	21.0	2	0	2	0
2014	A. Ayew	22.0	1	0	0	0
2014	A. Ayew	23.0	2	0	1	0
2014	A. Ayew	24.0	1	0	0	0
2014	A. Ayew	25.0	1	0	1	0
2014	A. Ayew	26.0	2	0	2	0
2014	A. Ayew	27.0	2	0	2	0
2014	A. Ayew	31.0	1	0	0	0
2014	A. Ba	12.0	1	1	0	0
2014	A. Ba	31.0	1	0	1	0
2014	A. Barrada	6.0	1	0	1	1
2014	A. Barrada	8.0	1	1	0	0
2014	A. Barrada	13.0	2	0	1	0
2014	A. Barrada	17.0	1	0	0	0
2014	A. Barrada	23.0	1	0	1	0
2014	A. Barrada	25.0	1	0	0	0
2014	A. Barrada	27.0	1	0	0	0
2014	A. Barrada	28.0	1	0	0	0
2014	A. Barrada	31.0	1	0	0	0
2014	A. Bedoya	7.0	1	0	1	1
2014	A. Bedoya	8.0	1	1	0	0
2014	A. Bedoya	10.0	1	1	1	0
2014	A. Bedoya	11.0	4	4	1	0
2014	A. Bedoya	12.0	2	2	1	1
