on_target	goal	distance	headed
0	0	16.620770138594665	false
0	0	32.112302938282085	false
0	0	17.913681921927726	true
1	1	12.803515142334932	false
1	1	5.916924876994801	true
0	0	10.383159442096606	true
0	0	9.213034245024822	true
1	1	51.11721823417233	false
0	0	12.649505919204913	true
0	0	24.914654322305978	false
1	1	11.5	false
1	0	35.26017583620366	false
0	0	40.53455316146954	false
0	0	34.18435314584729	false
1	0	39.53454185898706	false
0	0	42.28344829835901	false
1	0	26.929537686339877	false
1	0	6.928924880528002	true
1	1	11.700427342623003	true
0	0	12.94681427996864	false
1	0	27.809530740377483	false
0	0	27.354341520131683	false
0	0	16.478470802838473	false
1	0	18.514858897652992	false
1	1	11.5	false
0	0	37.92413479566805	false
0	0	26.451464987784703	false
0	0	13.32553938870769	true
1	0	30.579731849707244	false
1	0	17.92344832893492	false
1	0	29.343653487594217	false
0	0	6.103277807866846	true
1	0	13.7800580550301	false
0	0	21.758906222510358	false
1	0	24.983994876720576	false
1	0	19.74740489279541	false
0	0	6.592419889539804	true
0	0	12.293087488503444	false
0	0	7.910120100226044	true
0	0	26.34274093559742	false
1	1	12.865846260545784	true
0	0	26.599436084248104	false
0	0	27.750315313523917	false
1	0	26.256046922566238	false
0	0	12.5	false
1	1	8.121576201698785	true
1	0	20.52437575177379	true
0	0	17.397126199461795	false
1	1	10.100000000000007	true
1	0	31.04206823006483	false
0	0	13.56244815658294	true
1	0	9.518928511129817	true
0	0	24.646500765828808	false
0	0	12.322337440599489	false
0	0	31.004031995854987	false
0	0	8.052949770115289	true
1	0	28.781417616232865	false
0	0	8.318653737234172	true
1	0	23.631546711969577	false
1	0	10.554619841567014	true
0	0	30.377129554979362	false
0	0	28.000178570859152	false
0	0	14.86472334084963	false
0	0	12.070211265756702	false
1	1	8.431488599292537	true
1	1	11.5	false
1	1	18.462935844550834	false
1	0	25.802713035648015	false
0	0	22.14610575247938	false
1	0	23.45804765959861	false
0	0	12.578155667664477	false
0	0	8.089499366462675	true
1	0	12.349089035228468	false
1	1	11.5	false
0	0	31.003548184038557	false
0	0	17.008233300375437	false
1	1	11.5	false
0	0	16.086329600005097	false
1	1	11.5	false
1	0	11.22719911643149	true
1	1	16.58010856418015	false
1	1	13.756816492197604	false
