on_target	goal	distance	headed
1	1	23.257256931977164	false
0	0	16.011246047700347	false
0	0	14.286357128393503	false
1	1	11.5	false
0	0	9.935793878699371	true
0	0	12.928263611173776	true
0	0	9.626006440887105	false
0	0	18.646179233290663	false
1	0	12.406449935416651	true
1	0	20.47266470198738	false
0	0	30.26053535547578	false
0	0	26.26670896781704	false
0	0	19.1637678967368	false
0	0	21.564090521049106	false
0	0	10.454664030948097	false
0	0	28.46137733842127	false
0	0	16.73618833546038	false
0	0	20.525106577068	true
1	1	18.474035834110534	false
1	1	10.444615837837214	true
0	0	15.440207252495032	true
0	0	11.667476162392619	false
0	0	16.478470802838473	true
0	0	10.261578825892235	true
1	1	15.520631430454111	false
1	1	14.827339613025659	false
1	0	22.522211259110414	false
0	0	32.90744596592084	false
0	0	13.395894893585865	false
1	1	9.90858213873206	false
0	0	21.74120511839213	false
0	0	26.53243298304925	false
0	0	18.391846019364124	false
1	0	18.031361568112374	false
0	0	11.98540779448075	true
0	0	8.009993757800315	true
0	0	7.849203781276161	true
0	0	24.347895186237345	false
1	1	2.973213749463703	false
1	0	17.740913167027223	false
0	0	24.144771690782243	false
0	0	32.66955769519998	false
0	0	32.74706093682302	false
1	0	12.940247292845688	true
0	0	27.1154937259125	false
1	1	11.5	false
0	0	22.638462845343543	false
1	1	7.97558775263617	true
0	0	12.300406497347957	false
0	0	27.542694131112153	false
1	0	12.628935030318273	false
0	0	23.88325773423718	false
0	0	27.842593270024256	false
1	1	23.79936973955403	false
0	0	10.0	true
1	0	34.400145348530145	false
1	1	20.359027481684873	false
0	0	25.670410982296335	false
1	1	20.81946204876581	false
0	0	10.064790112068906	false
1	1	11.601724009818538	false
0	0	13.630847369110992	true
1	0	16.597891432347666	false
1	0	15.532224567009067	true
0	0	10.040418317978594	false
0	0	12.734991166074675	true
1	1	10.480935072788121	true
1	0	11.5	false
1	1	10.959014554237992	true
1	0	30.1705154082591	false
1	0	14.962620091414468	false
1	0	25.793410011086163	false
0	0	18.45670609832643	false
1	1	9.334880824091973	false
1	0	14.948244044034064	true
0	0	29.917219122104246	false
0	0	24.06823632923692	false
0	0	10.501904589168578	false
1	0	30.445360894559947	false
0	0	25.97383298629603	false
1	1	11.666190466471903	false
1	0	24.869660230891775	false
1	0	21.07723890835799	false
1	0	21.55203006679417	false
0	0	12.20040982918197	false
1	0	23.420076857260742	false
0	0	66.91823368858446	false
1	0	27.452686571627194	false
0	0	20.060159520801424	false
0	0	32.04137949589561	false
0	0	9.243916918709296	true
1	1	12.615070352558481	true
0	0	28.677691678376068	false
1	0	11.77200067957864	false
1	0	27.77210831031739	false
0	0	7.283543093852055	false
1	0	15.170036255724634	false
0	0	12.164292005702594	false
1	0	22.826738707051422	false
0	0	13.179529581893279	false
0	0	29.601351320505625	false
1	0	16.3413585726524	false
1	0	11.741379816699565	true
1	0	15.54155719353759	false
0	0	23.82120903732638	false
0	0	24.337830634631345	false
0	0	13.336041391657423	false
1	0	24.390571949013417	false
0	0	30.198178753030792	false
1	0	14.086873322352265	false
1	0	18.514858897652992	false
0	0	12.398790263570072	true
0	0	22.924222996647014	false
0	0	16.31349134918703	false
1	1	10.008995953640904	true
1	0	23.703375287076735	false
0	0	14.58355237930731	false
0	0	14.176741515595184	true
0	0	14.615402833996743	false
0	0	15.370751445521456	true
0	0	16.28557644051939	false
0	0	18.462123388169626	true
1	0	12.258874336577565	true
1	1	8.24924238945614	true
0	0	12.82809416865966	false
1	0	22.30336297512104	false
0	0	16.83864602632884	false
0	0	19.672569735548024	false
1	0	15.608010763707206	true
0	0	16.776471619503308	false
