"season"	"player_name"	"distance"	"nb"	"headed"	"on_target"	"goal"
2015	"A. Bangoura"	11	1	0	1	0
2015	"A. Bangoura"	17	1	0	1	1
2015	"A. Bangoura"	18	1	1	1	0
2015	"A. Bangoura"	22	2	0	0	0
2015	"A. Bangoura"	25	1	0	0	0
2015	"A. Bangoura"	26	3	0	0	0
2015	"A. Bangoura"	27	1	0	0	0
2015	"A. Bangoura"	36	1	0	0	0
2015	"A. Barrada"	4	1	1	1	1
2015	"A. Barrada"	7	1	0	0	0
2015	"A. Barrada"	12	1	0	1	0
2015	"A. Barrada"	13	2	0	0	0
2015	"A. Barrada"	14	1	0	1	0
2015	"A. Barrada"	15	1	0	0	0
2015	"A. Barrada"	20	3	0	1	0
2015	"A. Barrada"	21	1	0	0	0
2015	"A. Barrada"	22	1	0	1	0
2015	"A. Barrada"	23	2	0	0	0
2015	"A. Barrada"	25	1	0	0	0
2015	"A. Barrada"	27	3	0	1	0
2015	"A. Barrada"	28	1	0	0	0
2015	"A. Barrada"	30	1	0	0	0
2015	"A. Barrada"	31	2	0	1	0
2015	"A. Barrada"	32	1	0	0	0
2015	"A. Bedoya"	7	2	2	0	0
2015	"A. Bedoya"	8	1	0	1	0
2015	"A. Bedoya"	10	4	2	1	1
2015	"A. Bedoya"	11	2	1	2	1
2015	"A. Bedoya"	12	2	0	1	0
2015	"A. Bedoya"	14	3	2	2	0
2015	"A. Bedoya"	15	1	0	0	0
2015	"A. Bedoya"	16	3	0	0	0
2015	"A. Bedoya"	18	1	0	1	0
2015	"A. Bedoya"	19	1	0	0	0
2015	"A. Bedoya"	20	1	0	1	0
2015	"A. Bedoya"	25	1	0	0	0
2015	"A. Bedoya"	27	1	0	0	0
2015	"A. Bedoya"	28	1	0	0	0
2015	"A. Bedoya"	29	1	0	0	0
2015	"A. Bedoya"	31	2	0	0	0
2015	"A. Bedoya"	41	1	0	0	0
2015	"A. Biyogo Poko"	9	1	0	0	0
2015	"A. Biyogo Poko"	10	1	0	1	0
2015	"A. Biyogo Poko"	18	1	0	0	0
2015	"A. Biyogo Poko"	19	2	1	0	0
2015	"A. Biyogo Poko"	20	3	1	0	0
2015	"A. Biyogo Poko"	21	2	0	0	0
2015	"A. Biyogo Poko"	22	1	0	0	0
2015	"A. Biyogo Poko"	23	2	0	0	0
2015	"A. Biyogo Poko"	24	1	0	0	0
2015	"A. Biyogo Poko"	25	1	0	1	0
2015	"A. Biyogo Poko"	26	1	0	0	0
2015	"A. Biyogo Poko"	30	1	0	0	0
2015	"A. Biyogo Poko"	33	1	0	0	0
2015	"A. Blin"	8	1	1	0	0
2015	"A. Blin"	13	1	0	0	0
2015	"A. Blin"	16	3	2	0	0
2015	"A. Blin"	17	1	0	1	0
2015	"A. Blin"	23	1	0	0	0
2015	"A. Blin"	31	1	0	0	0
2015	"A. Bouka Moutou"	7	1	1	1	0
2015	"A. Bouka Moutou"	9	1	0	1	1
2015	"A. Bouka Moutou"	12	1	0	1	1
2015	"A. Bouka Moutou"	20	1	0	0	0
2015	"A. Bouka Moutou"	25	1	0	1	0
2015	"A. Bouka Moutou"	27	1	0	0	0
2015	"A. Camara"	10	1	1	0	0
2015	"A. Camara"	12	2	0	1	0
2015	"A. Camara"	13	1	1	0	0
2015	"A. Camara"	15	3	1	1	1
2015	"A. Camara"	17	1	0	1	1
2015	"A. Camara"	20	1	0	1	0
2015	"A. Camara"	22	1	0	0	0
2015	"A. Camara"	23	1	0	0	0
2015	"A. Camara"	26	5	0	1	0
2015	"A. Camara"	27	1	0	0	0
2015	"A. Camara"	28	4	0	2	0
2015	"A. Camara"	29	2	0	0	0
2015	"A. Camara"	30	1	0	0	0
2015	"A. Camara"	31	1	0	0	0
2015	"A. Camara"	32	1	0	1	0
2015	"A. Camara"	34	1	0	0	0
2015	"A. Camara"	37	1	0	1	0
2015	"A. Camara"	40	1	0	1	0
2015	"A. Chermiti"	10	1	0	1	0
2015	"A. Chermiti"	12	1	1	0	0
2015	"A. Chermiti"	15	1	0	0	0
2015	"A. Chermiti"	19	1	0	0	0
2015	"A. Coeff"	11	1	1	0	0
2015	"A. Coeff"	29	1	0	0	0
2015	"A. Coeff"	32	3	0	1	0
2015	"A. Coeff"	34	1	0	0	0
2015	"A. Coeff"	37	1	0	1	0
2015	"A. Confais"	27	1	0	0	0
2015	"A. Confais"	29	1	0	0	0
2015	"A. Conte"	28	1	0	0	0
2015	"A. Conte"	29	1	0	1	0
2015	"A. Conte"	32	1	0	1	0
2015	"A. Delort"	4	1	1	0	0
2015	"A. Delort"	5	2	2	2	1
2015	"A. Delort"	8	6	5	3	1
2015	"A. Delort"	9	3	2	2	1
2015	"A. Delort"	10	3	2	1	1
2015	"A. Delort"	11	2	2	1	0
2015	"A. Delort"	12	6	1	4	2
2015	"A. Delort"	13	3	1	3	0
2015	"A. Delort"	14	4	3	2	0
2015	"A. Delort"	15	1	0	1	0
2015	"A. Delort"	16	2	0	0	0
2015	"A. Delort"	17	4	1	2	0
2015	"A. Delort"	18	2	0	2	0
2015	"A. Delort"	19	2	1	2	0
2015	"A. Delort"	20	5	0	1	0
2015	"A. Delort"	21	4	0	3	1
2015	"A. Delort"	22	5	0	2	1
2015	"A. Delort"	23	3	0	1	0
2015	"A. Delort"	24	2	0	1	1
2015	"A. Delort"	25	3	0	0	0
2015	"A. Delort"	26	4	0	2	0
2015	"A. Delort"	27	2	0	1	0
2015	"A. Delort"	28	6	0	3	1
2015	"A. Delort"	29	7	0	2	0
2015	"A. Delort"	30	7	0	1	0
2015	"A. Delort"	31	3	0	3	0
2015	"A. Delort"	32	3	0	1	0
2015	"A. Delort"	33	3	0	0	0
2015	"A. Delort"	35	4	0	1	0
2015	"A. Delort"	36	1	0	0	0
2015	"A. Delort"	37	1	0	0	0
2015	"A. Delort"	39	4	0	3	0
2015	"A. Delort"	42	1	0	1	0
2015	"A. Delort"	44	1	0	0	0
2015	"A. Devaux"	7	1	0	0	0
2015	"A. Devaux"	8	1	1	1	1
2015	"A. Devaux"	9	1	1	0	0
2015	"A. Devaux"	10	1	1	1	0
2015	"A. Devaux"	11	1	1	0	0
2015	"A. Devaux"	12	1	0	0	0
2015	"A. Devaux"	14	1	0	1	0
2015	"A. Devaux"	15	1	0	0	0
2015	"A. Devaux"	17	2	1	1	0
2015	"A. Devaux"	19	1	0	0	0
2015	"A. Devaux"	20	1	0	0	0
2015	"A. Devaux"	22	1	0	0	0
2015	"A. Devaux"	25	1	0	1	0
2015	"A. Devaux"	27	3	0	1	0
2015	"A. Devaux"	30	1	0	0	0
2015	"A. Devaux"	33	1	0	1	0
2015	"A. Devaux"	34	1	0	0	0
2015	"Á. Di María"	6	2	0	2	2
2015	"Á. Di María"	10	1	0	1	0
2015	"Á. Di María"	12	1	1	1	0
2015	"Á. Di María"	13	1	0	0	0
2015	"Á. Di María"	14	3	0	2	1
2015	"Á. Di María"	15	6	0	3	2
2015	"Á. Di María"	16	3	0	1	1
2015	"Á. Di María"	18	3	0	0	0
2015	"Á. Di María"	19	5	0	0	0
2015	"Á. Di María"	21	3	0	1	1
2015	"Á. Di María"	22	3	0	2	0
2015	"Á. Di María"	23	2	0	2	0
2015	"Á. Di María"	24	3	0	0	0
2015	"Á. Di María"	25	2	0	1	1
2015	"Á. Di María"	26	6	0	1	0
2015	"Á. Di María"	27	2	0	1	0
2015	"Á. Di María"	28	5	0	1	0
2015	"Á. Di María"	30	2	0	1	0
2015	"Á. Di María"	31	1	0	0	0
2015	"Á. Di María"	32	2	0	0	0
2015	"Á. Di María"	40	1	0	1	0
2015	"Á. Di María"	41	1	0	1	1
2015	"A. Doucouré"	8	2	2	1	1
2015	"A. Doucouré"	10	1	0	0	0
2015	"A. Doucouré"	11	2	1	2	0
2015	"A. Doucouré"	12	1	1	1	0
2015	"A. Doucouré"	13	1	1	0	0
2015	"A. Doucouré"	14	1	0	0	0
2015	"A. Doucouré"	15	1	1	1	1
2015	"A. Doucouré"	17	1	0	1	0
2015	"A. Doucouré"	18	2	1	2	0
2015	"A. Doucouré"	21	1	0	0	0
2015	"A. Doucouré"	23	1	0	0	0
2015	"A. Doucouré"	24	1	0	0	0
2015	"A. Doucouré"	25	2	0	0	0
2015	"A. Doucouré"	26	1	0	0	0
