"distance"	"nb"	"headed"	"on_target"	"goal"
1	2	1	2	2
2	5	0	5	5
3	22	11	15	14
4	29	12	20	17
5	53	27	38	30
6	75	40	37	27
7	131	71	58	35
8	179	98	89	44
9	214	134	81	37
10	248	159	100	34
11	233	127	91	35
12	313	139	168	78
13	233	106	90	28
14	241	87	93	28
15	256	60	85	32
16	235	35	75	23
17	204	26	79	23
18	228	16	97	24
19	247	7	85	21
20	220	6	86	21
21	205	2	67	14
22	221	4	89	18
23	213	0	65	9
24	228	1	68	13
25	244	0	76	11
26	272	0	73	6
27	300	0	94	6
28	274	0	66	10
29	248	0	57	8
30	212	0	53	3
31	176	0	42	3
32	127	0	32	2
33	126	0	30	2
34	106	0	25	1
35	57	0	20	0
36	64	0	11	0
37	45	0	11	1
38	32	0	6	0
39	21	0	8	1
40	20	0	6	1
41	7	0	4	1
42	8	0	3	0
43	6	0	3	0
44	2	0	0	0
45	3	0	2	0
46	3	0	0	0
47	2	0	1	0
48	3	0	2	2
50	2	0	0	0
51	4	0	3	2
53	2	0	0	0
54	1	0	0	0
55	1	0	0	0
57	2	0	0	0
59	1	0	0	0
61	1	0	0	0
62	1	0	0	0
67	1	0	0	0
68	1	0	0	0
87	2	1	2	2
88	1	0	1	1
91	1	0	1	1
92	3	1	3	3
93	2	1	2	2
94	3	0	3	3
95	2	0	2	2
96	3	1	3	3
97	2	0	2	2
98	1	0	1	1
99	2	0	2	2
