team,on_target,shots,percentage,pdo_int,pdo,start,id,tsr_for,tsr_against,goals_for,goals_against,goals_diff,shots_for,shots_against,points_for,points_against,start,goal,start_x,start_y,degree,distance,shot_headed,crosses,corner,pass_throw_in,pass_long_ball,pass_through_ball,pass_headed,predict,expg_ratio
Angers,17,47,0.36,1106,1106,2015,149,0.475,0.525,6,4,2,29,34,8,5,2015,6,3935.1000000000013,2156.9,3691.3293422761376,983.2619213332126,7,20,4,0,0,0,2,4.132186089007208,0.08791885295760017
Bastia,14,40,0.35,1146,1146,2015,123,0.47,0.53,8,8,0,36,42,7,7,2015,8,3387.9,1991.2,3555.302312029665,813.5796690926694,3,14,5,0,3,1,5,3.9907071409221078,0.0997676785230527
Bordeaux,20,73,0.27,995,995,2015,136,0.551,0.449,6,5,1,65,57,6,6,2015,5,5914.299999999999,3551.1999999999985,6395.658136193705,1496.9127719846988,13,32,14,0,0,0,3,6.418463792648996,0.08792416154313694
Caen,27,58,0.47,987,987,2015,126,0.303,0.6970000000000001,6,7,-1,18,45,9,6,2015,6,4884.599999999998,2977.5999999999985,5467.02903895694,1229.5064204923615,10,20,9,0,0,1,7,5.195500181332139,0.08957758933331274
GFC Ajaccio,16,58,0.28,857,857,2015,150,0.38799999999999996,0.612,0,6,-6,37,52,1,13,2015,0,4565.8,2735.8000000000006,5084.17520668313,1396.4995054019173,10,13,7,0,1,0,5,3.3354532852650802,0.057507815263191035
Guingamp,19,56,0.34,980,980,2015,127,0.499,0.501,3,5,-2,44,45,6,9,2015,3,4627.5,2722.7000000000003,5109.91068265479,1150.2916810925879,11,18,7,0,1,1,2,4.440732609209563,0.07929879659302792
Lille,17,58,0.29,997,997,2015,129,0.436,0.564,1,1,0,37,44,6,6,2015,1,4858.299999999999,3004.8000000000006,5422.857872474796,1241.0415076875825,9,21,8,0,2,1,0,4.834063654633801,0.08334592507989312
Lorient,21,59,0.36,916,916,2015,134,0.44799999999999995,0.552,5,7,-2,43,55,5,8,2015,4,4827.1,2923.2000000000003,5220.970567814145,1297.5711567512678,10,23,3,0,1,1,3,4.616424641940773,0.07824448545662327
Lyon,24,73,0.33,1093,1093,2015,131,0.623,0.377,6,2,4,55,31,8,5,2015,6,6040.7,3665.7000000000003,6651.047780434796,1562.5838681031898,19,22,13,0,2,0,1,5.479709016050881,0.07506450706919016
Marseille,28,71,0.39,1030,1030,2015,124,0.7070000000000001,0.293,10,5,5,58,29,6,9,2015,10,6017.699999999999,3488.1999999999994,6321.996057514371,1394.5016959715454,12,29,10,1,1,1,0,7.556870394330192,0.10643479428634073
Monaco,22,58,0.38,964,964,2015,133,0.522,0.478,4,5,-1,56,55,8,5,2015,3,4886.700000000001,2992.7000000000003,5483.963528510035,1072.2452304362646,13,25,6,0,0,1,2,7.184967566324382,0.12387875114352384
Montpellier,19,53,0.36,805,805,2015,135,0.561,0.439,1,6,-5,45,33,1,13,2015,1,4441.7,2723.0,4917.241328803433,1092.0314727112998,19,25,8,0,0,1,2,3.678873376756031,0.06941270522181191
Nantes,16,45,0.36,950,950,2015,137,0.428,0.5720000000000001,2,4,-2,34,47,7,7,2015,1,3692.200000000001,2155.3,3834.8655219791654,978.5886186847581,6,15,3,0,1,0,3,3.804335574095528,0.08454079053545618
Nice,18,54,0.33,962,962,2015,139,0.5710000000000001,0.429,7,8,-1,43,40,5,8,2015,6,4360.099999999999,2619.0,4844.82444678031,1181.7763809596956,7,12,5,0,0,0,0,4.336074599156922,0.08029767776216523
PSG,26,72,0.36,1135,1135,2015,142,0.66,0.34,9,2,7,73,35,13,1,2015,9,6136.099999999999,3552.1999999999994,6277.168519884982,1346.2787450759,17,23,8,0,4,8,1,7.211665909553292,0.10016202652157351
Reims,26,54,0.48,1133,1133,2015,141,0.44799999999999995,0.552,9,5,4,55,59,10,4,2015,9,4546.200000000002,2656.0,4521.115758824824,1184.9985711417783,5,17,7,0,1,0,3,5.701837609425478,0.10558958535973108
Rennes,20,52,0.38,1160,1160,2015,132,0.447,0.5529999999999999,9,4,5,34,46,12,3,2015,8,4256.7,2539.500000000001,4622.507475307072,946.0550612302329,12,22,5,0,0,0,3,5.532101071765965,0.1063865590724224
St Etienne,18,65,0.28,1074,1074,2015,128,0.426,0.574,7,5,2,36,50,10,4,2015,7,5429.3,3284.6999999999994,6341.2933768989415,1342.8915334514131,13,20,7,0,2,0,0,6.892062446633469,0.10603172994820721
Toulouse,20,58,0.34,945,945,2015,140,0.599,0.401,6,8,-2,58,41,5,8,2015,6,5004.500000000001,2976.800000000001,5350.199242545985,1086.5151064724957,8,29,5,1,1,1,3,7.006437875247119,0.12080065302150206
Troyes,19,52,0.37,848,848,2015,146,0.43799999999999994,0.562,4,12,-8,33,49,3,9,2015,4,4245.0,2411.6,4198.946034097559,1249.811332212644,2,12,5,0,1,0,0,3.802265168898525,0.07312048401727933
