start	id	short_name	tsr_for
2014	141	Reims	0.36
2014	142	PSG	0.64
2014	139	Nice	0.667
2014	140	Toulouse	0.333
2014	123	Bastia	0.625
2014	124	Marseille	0.375
2014	137	Nantes	0.737
2014	138	Lens	0.263
2014	129	Lille	0.875
2014	130	Metz	0.125
2014	125	Evian	0.455
2014	126	Caen	0.545
2014	135	Montpellier	0.682
2014	136	Bordeaux	0.318
2014	127	Guingamp	0.462
2014	128	St Etienne	0.538
2014	131	Lyon	0.731
2014	132	Rennes	0.269
2014	133	Monaco	0.591
2014	134	Lorient	0.409
2014	126	Caen	0.556
2014	129	Lille	0.444
2014	123	Bastia	0.25
2014	142	PSG	0.75
2014	131	Lyon	0.643
2014	140	Toulouse	0.357
2014	134	Lorient	0.583
2014	139	Nice	0.417
2014	130	Metz	0.667
2014	137	Nantes	0.333
2014	125	Evian	0.5
2014	132	Rennes	0.5
2014	127	Guingamp	0.417
2014	138	Lens	0.583
2014	124	Marseille	0.688
2014	135	Montpellier	0.313
2014	128	St Etienne	0.741
2014	141	Reims	0.259
2014	133	Monaco	0.474
2014	136	Bordeaux	0.526
2014	125	Evian	0.563
2014	142	PSG	0.438
2014	124	Marseille	0.8
2014	127	Guingamp	0.2
2014	129	Lille	0.65
2014	134	Lorient	0.35
2014	126	Caen	0.571
2014	141	Reims	0.429
2014	136	Bordeaux	0.522
2014	139	Nice	0.478
2014	130	Metz	0.48
2014	135	Montpellier	0.52
2014	123	Bastia	0.364
2014	140	Toulouse	0.636
2014	131	Lyon	0.667
2014	138	Lens	0.333
2014	128	St Etienne	0.688
2014	132	Rennes	0.313
2014	133	Monaco	0.273
2014	137	Nantes	0.727
2014	124	Marseille	0.714
2014	139	Nice	0.286
2014	129	Lille	0.235
2014	133	Monaco	0.765
2014	135	Montpellier	0.333
2014	137	Nantes	0.667
2014	126	Caen	0.565
2014	132	Rennes	0.435
2014	125	Evian	0.412
2014	140	Toulouse	0.588
2014	127	Guingamp	0.421
2014	134	Lorient	0.579
2014	138	Lens	0.63
2014	141	Reims	0.37
2014	123	Bastia	0.258
2014	136	Bordeaux	0.742
2014	130	Metz	0.292
2014	131	Lyon	0.708
2014	128	St Etienne	0.409
2014	142	PSG	0.591
2014	131	Lyon	0.407
2014	133	Monaco	0.593
2014	132	Rennes	0.375
2014	142	PSG	0.625
2014	126	Caen	0.333
2014	128	St Etienne	0.667
2014	134	Lorient	0.538
2014	135	Montpellier	0.462
2014	123	Bastia	0.563
2014	138	Lens	0.438
2014	140	Toulouse	0.714
2014	141	Reims	0.286
2014	130	Metz	0.565
2014	139	Nice	0.435
2014	129	Lille	0.542
2014	137	Nantes	0.458
2014	127	Guingamp	0.588
2014	136	Bordeaux	0.412
2014	124	Marseille	0.333
2014	125	Evian	0.667
2014	125	Evian	0.533
2014	136	Bordeaux	0.467
2014	124	Marseille	0.552
2014	132	Rennes	0.448
2014	134	Lorient	0.462
2014	141	Reims	0.538
2014	126	Caen	0.343
2014	140	Toulouse	0.657
2014	123	Bastia	0.296
2014	130	Metz	0.704
2014	137	Nantes	0.792
2014	139	Nice	0.208
2014	129	Lille	0.684
2014	135	Montpellier	0.316
2014	128	St Etienne	0.6
2014	138	Lens	0.4
2014	127	Guingamp	0.136
2014	133	Monaco	0.864
2014	131	Lyon	0.429
2014	142	PSG	0.571
2014	124	Marseille	0.677
2014	141	Reims	0.323
2014	132	Rennes	0.654
2014	140	Toulouse	0.346
2014	131	Lyon	0.519
2014	134	Lorient	0.481
2014	129	Lille	0.4
2014	139	Nice	0.6
2014	127	Guingamp	0.571
2014	130	Metz	0.429
2014	123	Bastia	0.211
2014	137	Nantes	0.789
2014	125	Evian	0.609
2014	138	Lens	0.391
2014	133	Monaco	0.571
2014	135	Montpellier	0.429
2014	126	Caen	0.467
2014	142	PSG	0.533
2014	128	St Etienne	0.864
2014	136	Bordeaux	0.136
2014	133	Monaco	0.5
2014	139	Nice	0.5
2014	140	Toulouse	0.579
2014	142	PSG	0.421
2014	123	Bastia	0.269
2014	129	Lille	0.731
2014	130	Metz	0.81
2014	141	Reims	0.19
2014	127	Guingamp	0.55
2014	135	Montpellier	0.45
2014	125	Evian	0.238
2014	134	Lorient	0.762
2014	132	Rennes	0.462
2014	136	Bordeaux	0.538
2014	131	Lyon	0.417
2014	137	Nantes	0.583
2014	126	Caen	0.591
2014	138	Lens	0.409
2014	124	Marseille	0.577
2014	128	St Etienne	0.423
2014	136	Bordeaux	0.65
2014	141	Reims	0.35
2014	124	Marseille	0.667
2014	126	Caen	0.333
2014	125	Evian	0.471
2014	130	Metz	0.529
2014	123	Bastia	0.3
2014	134	Lorient	0.7
2014	135	Montpellier	0.412
2014	139	Nice	0.588
2014	132	Rennes	0.667
2014	138	Lens	0.333
2014	128	St Etienne	0.75
2014	140	Toulouse	0.25
2014	129	Lille	0.48
2014	131	Lyon	0.52
2014	127	Guingamp	0.556
2014	137	Nantes	0.444
2014	133	Monaco	0.652
2014	142	PSG	0.348
2014	138	Lens	0.444
2014	142	PSG	0.556
2014	128	St Etienne	0.789
2014	134	Lorient	0.211
2014	130	Metz	0.481
2014	132	Rennes	0.519
2014	125	Evian	0.55
2014	133	Monaco	0.45
2014	123	Bastia	0.13
2014	139	Nice	0.87
2014	127	Guingamp	0.167
2014	129	Lille	0.833
2014	137	Nantes	0.435
2014	141	Reims	0.565
2014	124	Marseille	0.682
2014	140	Toulouse	0.318
2014	126	Caen	0.478
2014	136	Bordeaux	0.522
2014	131	Lyon	0.667
2014	135	Montpellier	0.333
2014	138	Lens	0.304
2014	140	Toulouse	0.696
2014	136	Bordeaux	0.421
2014	142	PSG	0.579
2014	125	Evian	0.391
2014	137	Nantes	0.609
2014	135	Montpellier	0.52
2014	141	Reims	0.48
2014	126	Caen	0.636
2014	134	Lorient	0.364
2014	123	Bastia	0.32
2014	133	Monaco	0.68
2014	129	Lille	0.368
2014	132	Rennes	0.632
2014	128	St Etienne	0.545
2014	130	Metz	0.455
2014	127	Guingamp	0.536
2014	139	Nice	0.464
2014	124	Marseille	0.524
2014	131	Lyon	0.476
2014	133	Monaco	0.632
2014	141	Reims	0.368
2014	134	Lorient	0.586
2014	142	PSG	0.414
2014	131	Lyon	0.64
2014	139	Nice	0.36
2014	126	Caen	0.545
2014	130	Metz	0.455
2014	125	Evian	0.333
2014	135	Montpellier	0.667
2014	123	Bastia	0.4
2014	127	Guingamp	0.6
2014	128	St Etienne	0.292
2014	129	Lille	0.708
2014	132	Rennes	0.2
2014	137	Nantes	0.8
2014	136	Bordeaux	0.565
2014	140	Toulouse	0.435
2014	124	Marseille	0.5
2014	138	Lens	0.5
2014	132	Rennes	0.571
2014	134	Lorient	0.429
2014	136	Bordeaux	0.632
2014	138	Lens	0.368
2014	130	Metz	0.52
2014	140	Toulouse	0.48
2014	126	Caen	0.65
2014	137	Nantes	0.35
2014	125	Evian	0.556
2014	139	Nice	0.444
2014	123	Bastia	0.588
2014	135	Montpellier	0.412
2014	127	Guingamp	0.44
2014	131	Lyon	0.56
2014	128	St Etienne	0.647
2014	133	Monaco	0.353
2014	129	Lille	0.333
2014	141	Reims	0.667
2014	124	Marseille	0.436
2014	142	PSG	0.564
2014	130	Metz	0.517
2014	142	PSG	0.483
2014	123	Bastia	0.529
2014	131	Lyon	0.471
2014	127	Guingamp	0.552
2014	132	Rennes	0.448
2014	134	Lorient	0.828
2014	138	Lens	0.172
2014	139	Nice	0.565
2014	141	Reims	0.435
2014	126	Caen	0.35
2014	133	Monaco	0.65
2014	128	St Etienne	0.542
2014	137	Nantes	0.458
2014	135	Montpellier	0.731
2014	140	Toulouse	0.269
2014	124	Marseille	0.684
2014	136	Bordeaux	0.316
2014	124	Marseille	0.536
2014	137	Nantes	0.464
2014	139	Nice	0.5
2014	142	PSG	0.5
2014	134	Lorient	0.533
2014	140	Toulouse	0.467
2014	123	Bastia	0.353
2014	141	Reims	0.647
2014	132	Rennes	0.4
2014	133	Monaco	0.6
2014	126	Caen	0.724
2014	135	Montpellier	0.276
2014	130	Metz	0.273
2014	138	Lens	0.727
2014	129	Lille	0.35
2014	136	Bordeaux	0.65
2014	125	Evian	0.429
2014	127	Guingamp	0.571
2014	128	St Etienne	0.478
2014	131	Lyon	0.522
2014	124	Marseille	0.593
2014	134	Lorient	0.407
2014	137	Nantes	0.692
2014	140	Toulouse	0.308
2014	133	Monaco	0.364
2014	138	Lens	0.636
2014	132	Rennes	0.286
2014	139	Nice	0.714
2014	128	St Etienne	0.5
2014	135	Montpellier	0.5
2014	123	Bastia	0.526
2014	125	Evian	0.474
2014	126	Caen	0.227
2014	127	Guingamp	0.773
2014	130	Metz	0.458
2014	136	Bordeaux	0.542
