start	id	short_name	tsr_for	tsr_against	goals_for	goals_against	goals_diff	shots_for	shots_against	points_for	points_against
2014	142	PSG	0.578	0.422	39	19	20	281	219	44	14
2014	131	Lyon	0.578	0.422	47	17	30	322	226	48	15
2014	124	Marseille	0.576	0.424	42	22	20	347	251	44	20
2014	128	St Etienne	0.566	0.434	24	14	10	262	207	40	19
2014	129	Lille	0.555	0.445	17	19	-2	271	211	27	33
2014	137	Nantes	0.545	0.455	19	22	-3	268	225	31	28
2014	133	Monaco	0.542	0.458	25	18	7	265	222	39	21
2014	134	Lorient	0.502	0.498	25	32	-7	276	266	23	41
2014	139	Nice	0.5	0.5	28	29	-1	244	245	31	31
2014	136	Bordeaux	0.499	0.501	27	29	-2	255	256	33	27
2014	138	Lens	0.481	0.519	20	28	-8	246	268	20	41
2014	140	Toulouse	0.479	0.521	23	34	-11	241	273	22	40
2014	126	Caen	0.478	0.522	30	35	-5	266	300	21	39
2014	130	Metz	0.464	0.536	19	32	-13	243	278	20	41
2014	132	Rennes	0.457	0.543	23	29	-6	215	248	30	30
2014	141	Reims	0.455	0.545	27	36	-9	246	296	29	32
2014	127	Guingamp	0.454	0.546	26	35	-9	221	274	28	37
2014	125	Evian	0.45	0.55	24	38	-14	188	235	23	41
2014	135	Montpellier	0.446	0.554	30	22	8	226	277	35	26
2014	123	Bastia	0.395	0.605	21	26	-5	177	283	23	35
